Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
Name,Repository,Category,TagName,TagLastPushed,TagDigest,TagSize,StarCount,PullCount,DateDownloaded
clojure,library,Official,tools-deps-1.11.3.1456-bullseye-slim,2024-05-28T22:30:30Z,sha256:70ce7de6059414530770bb3807d45fd319d4e92d982ceb69786b80223dc6d41b,248560088,358,36567188,0001-01-01T00:00:00Z
php,library,Official,zts-alpine3.20,2024-05-25T16:47:05Z,sha256:a6af6e7d5dc041c68c4dc14ecd94fac94701b328e288de18fd2c07b06aa0f578,40901290,7534,1167435815,0001-01-01T00:00:00Z
php,library,Official,zts-alpine,2024-05-25T16:46:59Z,sha256:f86d1373c6b86c4cf71c16f1bad80ff1f7ff623a6e253dcf16d730ce88ab0aee,40901290,7534,1167435815,0001-01-01T00:00:00Z
php,library,Official,fpm-alpine3.20,2024-05-25T16:46:45Z,sha256:e7b38665eec50f09570ac19d55f811cf6a871df954901d9c9422aeeb10c82a07,32490658,7534,1167435815,0001-01-01T00:00:00Z
php,library,Official,fpm-alpine,2024-05-25T16:46:40Z,sha256:8af98737607f9b78d30b78f817aadcf6bd3e038833a9028cb9154f252853ab96,32490658,7534,1167435815,0001-01-01T00:00:00Z
php,library,Official,cli-alpine3.20,2024-05-25T16:46:28Z,sha256:d46334cc3b82629967d1c3f078a47071f6ba1d313b6d3eb16fb5f8fe034b9326,36599755,7534,1167435815,0001-01-01T00:00:00Z
jruby,library,Official,9.4.7.0-jre8,2024-05-17T04:02:01Z,sha256:b0db3d9cbe8607d8dbd6d2ea8c15223f8619499d994ba9d60925b2638d7089dc,127409234,116,50354729,0001-01-01T00:00:00Z
jruby,library,Official,9.4.7.0-jre17,2024-05-17T04:01:58Z,sha256:312ccf3792ff778fc59c08b0f6adc504d2fed30feea7d20952b6d3d00e1da348,132787906,116,50354729,0001-01-01T00:00:00Z
jruby,library,Official,9.4.7.0-jre11,2024-05-17T04:01:57Z,sha256:04667aba65d62c848fc303380742e6ed6623b8dac807a14f1b417f025007a535,132714874,116,50354729,0001-01-01T00:00:00Z
jruby,library,Official,9.4.7.0-jre,2024-05-17T04:01:55Z,sha256:b0db3d9cbe8607d8dbd6d2ea8c15223f8619499d994ba9d60925b2638d7089dc,127409234,116,50354729,0001-01-01T00:00:00Z
jruby,library,Official,9.4.7.0-jdk8,2024-05-17T04:01:54Z,sha256:3ac9095b380847656591f45076d72f5eadb4729e7cb84c8a14745b5932f89cd5,189132943,116,50354729,0001-01-01T00:00:00Z
